objetID,SIREDO,Macrosection,Indice national,Dép_SectionIndice_Sens,Dép_SectionIndice,Route,Début section,Fin section,Section,Sens,Compteur Sens,Département,PR,Abscisse,Sens,Type Compteur,Année,TMJA TV,TMJA PL,%PL,"janvier
TMJA TV","février
TMJA TV","mars
TMJA TV","avril
TMJA TV","mai
TMJA TV","juin
TMJA TV","juillet
TMJA TV","août
TMJA TV","septembre
TMJA TV","octobre
TMJA TV","novembre
TMJA TV","décembre
TMJA TV",Année,TMJA TV,TMJA PL,%PL,"janvier
TMJA TV","février
TMJA TV","mars
TMJA TV","avril
TMJA TV","mai
TMJA TV","juin
TMJA TV","juillet
TMJA TV","août
TMJA TV","septembre
TMJA TV","octobre
TMJA TV","novembre
TMJA TV","décembre
TMJA TV",Année,TMJA TV,TMJA PL,%PL,"janvier
TMJA TV","février
TMJA TV","mars
TMJA TV","avril
TMJA TV","mai
TMJA TV","juin
TMJA TV","juillet
TMJA TV","août
TMJA TV","septembre
TMJA TV","octobre
TMJA TV","novembre
TMJA TV","décembre
TMJA TV",Année,TMJA TV,TMJA PL,%PL,"janvier
TMJA TV","février
TMJA TV","mars
TMJA TV","avril
TMJA TV","mai
TMJA TV","juin
TMJA TV","juillet
TMJA TV","août
TMJA TV","septembre
TMJA TV","octobre
TMJA TV","novembre
TMJA TV","décembre
TMJA TV",Année,TMJA TV,TMJA PL,%PL,"janvier
TMJA TV","février
TMJA TV","mars
TMJA TV","avril
TMJA TV","mai
TMJA TV","juin
TMJA TV","juillet
TMJA TV","août
TMJA TV","septembre
TMJA TV","octobre
TMJA TV","novembre
TMJA TV","décembre
TMJA TV","Recueil
précédent","TMJA TV
précédent","TMJA PL
précédent","%PL
précédent"
1,MXC21.4,A0038_M1,,210_600100_3,210_600100,A38,Début A38 DIRCE/A6,Bif. A38/D33,0+0 => 20+996,Cumulé,CIVRY,21,5,405,3,Permanent,2021,"10,849",941,8.67 %,"8,764","9,459","9,773","8,184","10,558","11,878","12,348","11,812","12,255","12,240","11,555","11,248",2020,"9,098","1,061",11.7%,"10,574","10,964","6,661","2,620","6,174","10,676","12,034","11,549","10,365","11,349","6,787","9,275",2019,"11,623","1,210",10.4%,"9,830","10,933","11,295","12,092","11,723","12,664","12,412","11,642","11,945","11,976","11,415","11,550","2,018","11,537","1,188",10.3,"10,099","10,343","11,274","12,119","11,846","12,522","12,316","11,617","12,193","12,090","11,202","10,763",2017,"11,625","1,197",10.3,"9,905","10,994","11,312","11,916","12,061","12,490","12,397","11,555","12,214","12,084","11,536","11,019",2016,"11,435","1,147",10.0
2,MXC21.4,,,210_600100_2,210_600100,A38,Bif. A38/D33,Début A38 DIRCE/A6,20+996 => 0+0,PR décroissants,CIVRY->Ouest,21,5,405,2,Permanent,2021,"5,451",458,8.40 %,"4,390","4,775","4,920","4,121","5,310","5,971","6,273","5,880","6,134","6,154","5,773","5,652",2020,"4,509",510,11.3%,"5,292","5,540","3,320","1,317","3,114","5,365","6,069","5,726","4,513","5,698","3,392","4,680",2019,"5,839",592,10.1%,"4,917","5,489","5,682","6,058","5,903","6,339","6,266","5,827","5,977","6,036","5,733","5,838","2,018","5,809",592,10.2,"5,052","5,219","5,751","6,091","5,974","6,328","6,209","5,794","6,094","6,084","5,642","5,439",2017,"5,829",594,10.2,"4,957","5,548","5,657","5,985","6,053","6,241","6,240","5,735","6,116","6,042","5,778","5,589",,,,
3,MXC21.4,,,210_600100_1,210_600100,A38,Début A38 DIRCE/A6,Bif. A38/D33,0+0 => 20+996,PR croissants,CIVRY->Est,21,5,405,1,Permanent,2021,"5,398",483,8.95 %,"4,374","4,684","4,853","4,063","5,248","5,907","6,075","5,932","6,121","6,086","5,782","5,596",2020,"4,589",551,12.0%,"5,282","5,424","3,341","1,303","3,060","5,311","5,965","5,823","5,852","5,651","3,395","4,595",2019,"5,784",618,10.7%,"4,913","5,444","5,612","6,034","5,820","6,325","6,146","5,815","5,968","5,940","5,682","5,712","2,018","5,728",601,10.5,"5,047","5,124","5,523","6,028","5,872","6,194","6,107","5,823","6,099","6,006","5,560","5,324",2017,"5,796",614,10.6,"4,948","5,446","5,655","5,931","6,008","6,249","6,157","5,820","6,098","6,042","5,758","5,430",,,,
4,MXC21.5,A0038_M2,,210_600300_3,210_600300,A38,Bif. A38/D33,Bif. A38/D905,20+996 => 34+700,Cumulé,PONT DE PANY,21,21,510,3,Permanent,2021,"17,452","1,112",6.37 %,"14,536","15,582","16,438","13,665","17,159","18,609","19,575","18,597","19,408","19,789","18,546","17,359",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,018","18,981","2,296",12.1,"16,812","16,571","17,621","22,561","19,788","20,443","19,744","18,652","20,104","19,685","18,413","17,318",2017,"18,931","2,082",11,"16,526","17,790","18,584","20,635","19,466","20,599","19,478","18,405","19,752","19,534","18,757","17,666",2016,"17,754","1,580",8.9
5,MXC21.5,,,210_600300_2,210_600300,A38,Bif. A38/D905,Bif. A38/D33,34+700 => 20+996,PR décroissants,PONT DE PANY->Ouest,21,21,510,2,Permanent,2021,"8,692",538,6.19 %,"7,221","7,783","8,194","6,814","8,546","9,272","9,822","9,192","9,681","9,867","9,185","8,648",,,,,,,,,,,,,"9,514","9,089","5,759","7,578",,,,,,,,,,,,,,,,,"2,018","9,540","1,297",13.6,"8,317","8,019","8,465","12,885","9,953","10,220","9,854","9,249","9,957","9,795","9,122","8,623",2017,"9,488","1,138",12,"8,310","8,871","9,189","10,977","9,707","10,250","9,737","9,123","9,846","9,700","9,307","8,855",,,,
6,MXC21.5,,,210_600300_1,210_600300,A38,Bif. A38/D33,Bif. A38/D905,20+996 => 34+700,PR croissants,PONT DE PANY->Est,21,21,510,1,Permanent,2021,"8,760",574,6.55 %,"7,315","7,799","8,244","6,851","8,613","9,337","9,753","9,405","9,727","9,922","9,361","8,711",,,,,,,,,,,,,"9,792","9,122","5,848","7,601",,,,,,,,,,,,,,,,,"2,018","9,441",859,9.1,"8,495","8,552","9,156","9,676","9,835","10,223","9,890","9,403","10,147","9,890","9,291","8,695",2017,"9,443",849,9,"8,216","8,919","9,395","9,658","9,759","10,349","9,741","9,282","9,906","9,834","9,450","8,811",,,,
7,MXC21.J,,,210_600500_3,210_600500,A38,Bif. A38/D905,Fin A38 DIRCE/N274,34+700 => 36+140,Cumulé,PLOMBIERE A38,21,36,140,3,Permanent,2021,"18,232","1,388",7.61 %,"15,454","16,235","17,146","14,474","17,236","20,051","20,028","19,441","21,105","20,350","19,310","17,827",2020,"15,615","1,611",10.3%,"18,258","18,038","10,884","5,136","10,918","16,788","18,431","18,415","19,550","18,844","15,820","16,141",2019,"19,126","1,745",9.1%,"17,869","17,953","19,018","17,241","20,069","19,892","20,493","18,647","19,805","20,129","19,273",,"2,018","19,377","1,724",8.9,"17,682","17,970","19,148","19,983","19,877","20,823","20,119","18,789","20,282","20,121","19,184","18,502",2017,"19,277","1,696",8.8,"17,326","18,717","19,343","19,516","19,205","20,475","19,835","18,596","20,198","20,148","19,504","18,490",2016,"19,452","1,680",8.6
8,MXC21.J,,,210_600500_2,210_600500,A38,Fin A38 DIRCE/N274,Bif. A38/D905,36+140 => 34+700,PR décroissants,PLOMBIERE A38->Nord,21,36,140,2,Permanent,2021,"8,865",689,7.77 %,"7,480","7,903","8,327","7,036","8,368","9,699","9,814","9,403","10,221","9,942","9,413","8,710",2020,"8,081",808,10.0%,"9,417","9,627","5,966","2,617","5,987","9,370","10,130","9,586","10,112","9,705","6,439","7,926",2019,"9,961",883,8.9%,"9,201","9,220","9,942","10,073","9,962","10,681","10,473","9,600","10,241","10,357","9,914","9,865","2,018","9,935",864,8.7,"9,114","9,229","9,742","10,261","10,201","10,657","10,293","9,660","10,420","10,332","9,850","9,444",2017,"9,892",850,8.6,"8,924","9,601","9,931","9,998","9,819","10,473","10,126","9,602","10,401","10,364","10,030","9,447",,,,
9,MXC21.J,,,210_600500_1,210_600500,A38,Bif. A38/D905,Fin A38 DIRCE/N274,34+700 => 36+140,PR croissants,PLOMBIERE A38->Sud,21,36,140,1,Permanent,2021,"9,367",699,7.46 %,"7,974","8,332","8,819","7,438","8,868","10,352","10,214","10,038","10,884","10,408","9,897","9,117",2020,"7,534",803,10.7%,"8,841","8,411","4,918","2,519","4,931","7,418","8,301","8,829","9,438","9,139","9,381","8,215",2019,"9,094",862,9.5%,"8,668","8,733","9,077","7,169","10,107","9,211","10,020","9,047","9,564","9,772","9,358","8,397","2,018","9,442",868,9.2,"8,568","8,741","9,406","9,722","9,676","10,166","9,826","9,129","9,862","9,789","9,334","9,058",2017,"9,385",844,9,"8,402","9,116","9,412","9,518","9,386","10,002","9,709","8,994","9,797","9,784","9,474","9,043",,,,
10,MY269.C,,,690_501203_3,690_501203,A42,Début A42/D383,Fin A42 DIRCE/A46N,0+0 => 4+250,Cumulé,GRAPPINIERE,69,2,17,3,Permanent,2021,"96,746",5040,5.21 %,"84,870","89,425","92,311","84,573","94,466","107,343","107,257","95,101","105,660","105,595","99,711","94,264",2020,"84,105","5,871",7.0%,"98,564","102,261","62,625","30,149","64,909","99,545","106,367","93,750","101,723","94,676","69,176","85,526",2019,"97,551","7,138",7.3%,"97,229","102,234","103,210","102,705","80,692","88,047","103,686","90,103","104,163","102,775","97,120","98,652","2,018","102,215","6,337",6.2,"98,668","100,059","102,962","105,253","103,603","111,425","107,313","93,923","106,684","103,762","97,730","95,374",2017,"101,199","6,071",6,"95,166","100,436","102,229","103,466","101,685","109,132","101,392","90,678","106,882","105,081","102,081","96,628",2016,"99,335","5,960",6.0
